VARNAMES: CID HOSTGAL_sSFR
SN: SN2017ms -8.933500
SN: iPTF17dz -10.163900
SN: 1997bq_JB -9.707820
SN: AT2016bln -11.129500
SN: AT2016cor -12.198500
SN: AT2016cvv -11.129500
SN: AT2016cvw -9.861080
SN: AT2016cyt -12.567800
SN: AT2016eoa -10.513900
SN: AT2016ews -9.299570
SN: AT2016fbk -9.322250
SN: AT2016gmg -9.901470
SN: AT2016gsu -9.268970
SN: AT2016hns -9.812750
SN: AT2016htm -8.868870
SN: AT2016htn -9.321290
SN: AT2017cfb -9.722030
SN: AT2017cfc -10.474900
SN: AT2017cfd -10.921000
SN: CSS160129 -12.189300
SN: CSS160428 -13.339700
SN: Gaia16acv -9.577330
SN: Gaia16agf -9.242680
SN: Gaia16aki -9.722030
SN: Gaia16bba -9.722030
SN: SN2016aqb -8.929880
SN: SN2016ayg -9.722030
SN: SN2016coj -10.748900
SN: SN2016esh -12.555900
SN: SN2016gfr -9.730400
SN: SN2016glp -12.193700
SN: SN2016glz -12.555900
SN: SN2016gmb -9.762740
SN: SN2016grz -10.028600
SN: SN2016hhv -9.584370
SN: SN2016hpx -9.722030
SN: SN2016ixf -108.972000
SN: SN2017cii -9.726300
SN: SN2017ciy -9.730400
SN: SN2017cjv -12.567800
SN: SN2017ckx -9.584370
SN: SN2017coa -10.513900
SN: SN2017cpu -16.445000
SN: iPTF13dge -9.533120
SN: iPTF13ebh -11.129500
SN: iPTF14atg -11.129500
SN: iPTF14bdn -8.832810
SN: iPTF16auf -8.847100
SN: ATLAS16agv -9.181960
SN: ATLAS16bwu -9.181960
SN: ATLAS16cpu -9.861080
SN: ATLAS16cxr -9.109760
SN: ATLAS16dpb -12.194400
SN: ATLAS16dqf -12.193700
SN: ATLAS17ajn -10.334400
SN: ATLAS17ajs -9.726300
SN: ATLAS17axb -9.299570
SN: ATLAS17bas -8.832810
SN: PTSS-16efw -8.898480
SN: PTSS17-niq -9.584370
SN: 2008fv2_rev -8.830120
SN: 2008fv_comb -8.830120
SN: ASASSN-14eu -11.129500
SN: ASASSN-14fa -11.129500
SN: ASASSN-14kd -9.730400
SN: ASASSN-15bc -8.830120
